id,localidade,estado,lat,lng
1,Santa Terezinha,BA,-12.8603,-39.4738
2,Elísio Medrado,BA,-12.8704,-39.4781
3,Igrapiúna,BA,-13.8414,-39.2411
4,Boa Nova,BA,-14.3625,-40.2075
5,Santa Maria do Salto,MG,-16.4121,-40.0555
6,Jequitinhonha,MG,-16.4333,-41.0000
7,Leme do Prado,MG,-17.1333,-42.7667
8,Turmalina,MG,-17.2000,-42.8500
9,Prado,BA,-17.3833,-39.2833
10,Alcobaça,BA,-17.5194,-39.1956
11,Ladainha,MG,-17.5721,-41.8019
12,Poté,MG,-17.7383,-41.7866
13,Nova Viçosa,BA,-17.8919,-39.3719
14,Mucuri,BA,-18.0555,-39.5497
15,Alto Rio Novo,ES,-19.0333,-40.9833
16,Sooretama,ES,-19.1969,-40.0978
17,Linhares,ES,-19.3909,-40.0715
18,Marliéria,MG,-19.7667,-42.5500
19,Caratinga,MG,-19.7833,-42.1333
20,Santa Teresa,ES,-19.9356,-40.6003
21,Afonso Cláudio,ES,-20.0742,-41.1239
22,Santa Leopoldina,ES,-20.1025,-40.5292
23,Conceição do Castelo,ES,-20.3683,-41.2439
24,Domingos Martins,ES,-20.3833,-40.8833
25,Guaçuí,ES,-20.7762,-41.6759
26,Varre-Sai,RJ,-20.9308,-41.8689
27,Cambuci,RJ,-21.5753,-41.9108
28,Mendes,RJ,-22.3200,-43.4400
29,Itatiaia,RJ,-22.4961,-44.5633
30,Mangaratiba,RJ,-22.5700,-44.0200
31,Parati,RJ,-23.2178,-44.7131
32,Picinguaba,SP,-23.3775,-44.8397
33,Caraguatatuba,SP,-23.6203,-45.4131
34,Bertioga,SP,-23.8544,-46.1386
35,Juquitiba,SP,-23.9326,-47.0669
36,Peruíbe,SP,-24.0140,-47.3605
37,Itanhaém,SP,-24.0399,-46.7766
38,Tapiraí,SP,-24.3200,-46.9983
39,Guaraqueçaba,PR,-25.2031,-48.2322
40,Caazapá,PY,-26.1666,-56.0000
41,Nova Trento,SC,-27.3254,-48.9622
