area,horario,media,mediana,dp,n
Ciências Humanas,07h00,6.30,7.00,2.63,1656
Ciências Humanas,08h30,6.21,6.80,2.64,1875
Ciências Humanas,10h30,5.97,6.50,2.71,1966
Ciências Humanas,12h00,6.13,6.75,2.65,2146
Linguagens,07h00,6.52,7.25,2.76,2101
Linguagens,08h30,6.51,7.15,2.71,1995
Linguagens,10h30,6.51,7.00,2.55,2235
Linguagens,12h00,6.13,6.70,2.66,1710
Matemática,07h00,5.56,5.60,2.84,1041
Matemática,08h30,5.41,5.50,2.86,1301
Matemática,10h30,5.12,5.00,2.95,885
Matemática,12h00,5.01,5.00,2.93,997
Ciências da Natureza,07h00,5.70,6.00,2.88,2093
Ciências da Natureza,08h30,5.61,6.00,2.78,1814
Ciências da Natureza,10h30,5.60,6.00,2.80,1804
Ciências da Natureza,12h00,5.46,5.75,2.87,2031
