area,faixa,media,mediana,dp,n
Ciências Humanas,07h00–07h30,5.87,6.25,2.72,2120
Ciências Humanas,08h30–10h30,6.24,7.00,2.60,3107
Ciências Humanas,11h00–12h00,6.31,7.00,2.65,2416
Linguagens,07h00–07h30,6.33,7.00,2.67,2965
Linguagens,08h30–10h30,6.37,7.00,2.68,2731
Linguagens,11h00–12h00,6.59,7.20,2.65,2345
Matemática,07h00–07h30,5.34,5.50,2.89,1510
Matemática,08h30–10h30,4.97,5.00,2.88,1505
Matemática,11h00–12h00,5.58,5.91,2.91,1209
Ciências da Natureza,07h00–07h30,5.69,6.00,2.85,3219
Ciências da Natureza,08h30–10h30,5.56,6.00,2.79,2401
Ciências da Natureza,11h00–12h00,5.46,5.75,2.83,2122
